Year,Water_level
Jan-80,4.54
Feb-80,4.793
Mar-80,4.883
Apr-80,4.938
May-80,4.075
Jun-80,2.92
Jul-80,2.745
Aug-80,2.59
Sep-80,2.693
Oct-80,2.907
Nov-80,3.418
Dec-80,3.973
Jan-81,4.275
Feb-81,4.483
Mar-81,4.718
Apr-81,4.593
May-81,4.217
Jun-81,3.73
Jul-81,2.915
Aug-81,2.63
Sep-81,2.215
Oct-81,3.043
Nov-81,3.844
Dec-81,4.32
Jan-82,4.555
Feb-82,4.785
Mar-82,4.963
Apr-82,4.395
May-82,3.99
Jun-82,3.515
Jul-82,2.343
Aug-82,2.42
Sep-82,3.078
Oct-82,3.198
Nov-82,3.778
Dec-82,4.245
Jan-83,4.552
Feb-83,4.813
Mar-83,4.745
Apr-83,3.955
May-83,3.12
Jun-83,2.835
Jul-83,2.408
Aug-83,2.02
Sep-83,1.948
Oct-83,2.46
Nov-83,3.17
Dec-83,3.71
Jan-84,4.104
Feb-84,4.39
Mar-84,4.665
Apr-84,4.652
May-84,2.947
Jun-84,3.4
Jul-84,2.67
Aug-84,2.798
Sep-84,2.333
Oct-84,2.962
Nov-84,3.56
Dec-84,3.955
Jan-85,4.295
Feb-85,4.473
Mar-85,4.56
Apr-85,4.258
May-85,3.83
Jun-85,2.4
Jul-85,2.362
Aug-85,2.367
Sep-85,2.137
Oct-85,2.595
Nov-85,2.63
Dec-85,3.63
Jan-86,3.943
Feb-86,4.605
Mar-86,4.716
Apr-86,4.645
May-86,4.31
Jun-86,4.322
Jul-86,3.525
Aug-86,3.163
Sep-86,2.945
Oct-86,2.34
Nov-86,3.225
Dec-86,3.823
Jan-87,4.2
Feb-87,4.495
Mar-87,4.626
Apr-87,4.223
May-87,4.083
Jun-87,3.143
Jul-87,2.823
Aug-87,2.372
Sep-87,2.295
Oct-87,2.73
Nov-87,3.538
Dec-87,3.43
Jan-88,4.275
Feb-88,4.587
Mar-88,4.708
Apr-88,4.755
May-88,3.882
Jun-88,3.05
Jul-88,2.28
Aug-88,2.18
Sep-88,2.49
Oct-88,2.66
Nov-88,3.39
Dec-88,3.705
Jan-89,4.108
Feb-89,4.393
Mar-89,4.628
Apr-89,4.563
May-89,3.848
Jun-89,3.37
Jul-89,2.388
Aug-89,1.873
Sep-89,2.198
Oct-89,2.26
Nov-89,3.073
Dec-89,3.607
Jan-90,4.114
Feb-90,4.423
Mar-90,4.593
Apr-90,3.843
May-90,3.377
Jun-90,2.52
Jul-90,2.316
Aug-90,1.987
Sep-90,1.793
Oct-90,2.585
Nov-90,3.148
Dec-90,3.718
Jan-91,4.075
Feb-91,4.278
Mar-91,4.338
Apr-91,4.393
May-91,2.723
Jun-91,2.188
Jul-91,2.11
Aug-91,2.21
Sep-91,2.16
Oct-91,2.408
Nov-91,2.943
Dec-91,3.584
Jan-92,3.94
Feb-92,4.178
Mar-92,4.308
Apr-92,4.215
May-92,3.947
Jun-92,3.51
Jul-92,2.588
Aug-92,2.673
Sep-92,2.633
Oct-92,2.64
Nov-92,3.336
Dec-92,3.95
Jan-93,4.208
Feb-93,4.318
Mar-93,4.15
Apr-93,4.165
May-93,3.002
Jun-93,2.065
Jul-93,2.013
Aug-93,1.833
Sep-93,2.325
Oct-93,2.76
Nov-93,3.446
Dec-93,3.863
Jan-94,4.338
Feb-94,4.61
Mar-94,4.603
Apr-94,4.013
May-94,3.965
Jun-94,3.215
Jul-94,2.977
Aug-94,2.1
Sep-94,2.967
Oct-94,3.16
Nov-94,3.733
Dec-94,4.22
Jan-95,4.51
Feb-95,4.807
Mar-95,5
Apr-95,5.05
May-95,4.493
Jun-95,3.765
Jul-95,2.802
Aug-95,2.24
Sep-95,2.82
Oct-95,3.138
Nov-95,3.583
Dec-95,3.905
Jan-96,4.1
Feb-96,4.43
Mar-96,4.59
Apr-96,4.123
May-96,3.83
Jun-96,3.383
Jul-96,2.736
Aug-96,2.51
Sep-96,2.785
Oct-96,3.05
Nov-96,3.57
Dec-96,4.07
Jan-97,4.508
Feb-97,4.72
Mar-97,4.86
Apr-97,4.83
May-97,4.75
Jun-97,4.018
Jul-97,2.753
Aug-97,2.813
Sep-97,2.85
Oct-97,3.047
Nov-97,3.835
Dec-97,4.248
Jan-98,4.548
Feb-98,4.81
Mar-98,5.008
Apr-98,4.585
May-98,4.398
Jun-98,3.048
Jul-98,2.523
Aug-98,2.136
Sep-98,2.753
Oct-98,3.4
Nov-98,3.824
Dec-98,4.17
Jan-99,4.72
Feb-99,4.94
Mar-99,4.216
Apr-99,5.26
May-99,4.788
Jun-99,4.373
Jul-99,3.968
Aug-99,3.29
Sep-99,3.525
Oct-99,3.09
Nov-99,4.25
Dec-99,4.613
Jan-00,4.46
Feb-00,4.707
Mar-00,4.71
Apr-00,4.507
May-00,3.794
Jun-00,2.913
Jul-00,2.94
Aug-00,2.46
Sep-00,2.02
Oct-00,2.78
Nov-00,3.56
Dec-00,4.033
1-Jan,4.4
1-Feb,4.665
1-Mar,4.795
1-Apr,4.956
1-May,4.478
1-Jun,3.278
1-Jul,2.942
1-Aug,2.873
1-Sep,2.602
1-Oct,2.94
1-Nov,3.26
1-Dec,4.103
2-Jan,4.36
2-Feb,4.643
2-Mar,4.92
2-Apr,5.033
2-May,4.153
2-Jun,3.567
2-Jul,2.812
2-Aug,2.523
2-Sep,3.183
2-Oct,3.533
2-Nov,3.838
2-Dec,4.176
3-Jan,4.553
3-Feb,4.843
3-Mar,5.05
3-Apr,4.96
3-May,4.658
3-Jun,3.53
3-Jul,2.963
3-Aug,2.997
3-Sep,3.181
3-Oct,3.28
3-Nov,3.718
3-Dec,4.218
4-Jan,4.54
4-Feb,4.833
4-Mar,5.115
4-Apr,4.165
4-May,3.772
4-Jun,3.453
4-Jul,2.178
4-Aug,2.652
4-Sep,2.483
4-Oct,2.973
4-Nov,3.593
4-Dec,4.148
5-Jan,4.516
5-Feb,4.803
5-Mar,4.808
5-Apr,4.553
5-May,4.182
5-Jun,3.66
5-Jul,2.93
5-Aug,2.763
5-Sep,3.21
5-Oct,3.146
5-Nov,3.768
5-Dec,4.23
6-Jan,4.598
6-Feb,4.767
6-Mar,5.125
6-Apr,5.09
6-May,4.828
6-Jun,4.057
6-Jul,3.066
6-Aug,3.425
6-Sep,3.555
6-Oct,3.635
6-Nov,3.703
6-Dec,4.8
7-Jan,4.984
7-Feb,5.18
7-Mar,5.403
7-Apr,5.198
7-May,4.57
7-Jun,3.47
7-Jul,3.172
7-Aug,3.16
7-Sep,2.34
7-Oct,3.164
7-Nov,3.645
7-Dec,4.056
8-Jan,4.445
8-Feb,4.695
8-Mar,4.883
8-Apr,4.843
8-May,4.853
8-Jun,4.286
8-Jul,3.348
8-Aug,2.9
8-Sep,2.634
8-Oct,3.19
8-Nov,3.69
8-Dec,4.2
9-Jan,4.72
9-Feb,4.94
9-Mar,5.1
9-Apr,5.26
9-May,4.947
9-Jun,4.373
9-Jul,3.968
9-Aug,3.29
9-Sep,3.558
9-Oct,3.63
9-Nov,4.25
9-Dec,4.613
10-Jan,4.925
10-Feb,5.16
10-Mar,5.343
10-Apr,4.403
10-May,3.674
10-Jun,2.495
10-Jul,2.798
10-Aug,2.476
10-Sep,2.195
10-Oct,2.87
10-Nov,3.638
10-Dec,4.13
11-Jan,4.518
11-Feb,4.893
11-Mar,5.06
11-Apr,5.005
11-May,5.03
11-Jun,4.02
11-Jul,3.148
11-Aug,3.128
11-Sep,3.313
11-Oct,3.653
11-Nov,4.27
11-Dec,4.543
Jan-11    5.43,
Feb-11    5.63,
Mar-11    5.80,
Apr-11    5.85,
May-11    5.72,
Jun-11    5.47,
Jul-11    5.31,
Aug-11    5.00,
Sep-11    4.85,
Oct-11    4.77,
Nov-11    4.85,
Dec-11    5.02,
Jan-12    5.16,
Feb-12    5.47,
Mar-12    5.80,
Apr-12    5.83,
May-12    5.77,
Jun-12    5.50,
Jul-12    5.18,
Aug-12    4.97,
Sep-12    4.84,
Oct-12    4.75,
Nov-12    4.84,
Dec-12    5.01,
Jan-13    5.24,
Feb-13    5.58,
Mar-13    5.92,
Apr-13    5.93,
May-13    5.85,
Jun-13    5.56,
Jul-13    5.28,
Aug-13    5.05,
Sep-13    4.87,
Oct-13    4.77,
Nov-13    4.85,
Dec-13    5.06,
Jan-14    5.31,
Feb-14    5.62,
Mar-14    5.98,
Apr-14    6.00,
May-14    5.91,
Jun-14    5.62,
Jul-14    5.34,
Aug-14    5.11,
Sep-14    4.93,
Oct-14    4.83,
Nov-14    4.92,
Dec-14    5.08,
Jan-15    5.33,
Feb-15    5.64,
Mar-15    6.00,
Apr-15    6.02,
May-15    5.93,
Jun-15    5.64,
Jul-15    5.37,
Aug-15    5.14,
Sep-15    4.96,
Oct-15    4.86,
Nov-15    4.95,
Dec-15    5.10,
Jan-16    5.35,
Feb-16    5.66,
Mar-16    6.02,
Apr-16    6.04,
May-16    5.95,
Jun-16    5.66,
Jul-16    5.38,
Aug-16    5.15,
Sep-16    4.97,
Oct-16    4.87,
Nov-16    4.96,
Dec-16    5.11,
Jan-17    5.36,
Feb-17    5.67,
Mar-17    6.03,
Apr-17    6.05,
May-17    5.96,
Jun-17    5.67,
Jul-17    5.39,
Aug-17    5.16,
Sep-17    4.98,
Oct-17    4.88,
Nov-17    4.97,
Dec-17    5.12,
Jan-18    5.37,
Feb-18    5.68,
Mar-18    6.04,
Apr-18    6.06,
May-18    5.97,
Jun-18    5.68,
Jul-18    5.40,
Aug-18    5.17,
Sep-18    4.99,
Oct-18    4.89,
Nov-18    4.98,
Dec-18    5.13,
Jan-19    5.38,
Feb-19    5.69,
Mar-19    6.05,
Apr-19    6.07,
May-19    5.98,
Jun-19    5.69,
Jul-19    5.41,
Aug-19    5.18,
Sep-19    5.00,
Oct-19    4.90,
Nov-19    4.99,
Dec-19    5.14,
Jan-20    5.39,
Feb-20    5.70,
Mar-20    6.06,
Apr-20    6.08,
May-20    5.99,
Jun-20    5.70,
Jul-20    5.42,
Aug-20    5.19,
Sep-20    5.01,
Oct-20    4.91,
Nov-20    5.00,
Dec-20    5.15,
Jan-21    5.40,
Feb-21    5.71,
Mar-21    6.07,
Apr-21    6.09,
May-21    6.00,
Jun-21    5.71,
Jul-21    5.43,
Aug-21    5.20,
Sep-21    5.02,
Oct-21    4.92,
Nov-21    5.01,
Dec-21    5.16,
Jan-22    5.41,
Feb-22    5.72,
Mar-22    6.08,
Apr-22    6.10,
May-22    6.01,
Jun-22    5.72,
Jul-22    5.44,
Aug-22    5.21,
Sep-22    5.03,
Oct-22    4.93,
Nov-22    5.02,
Dec-22    5.17,
Jan-23    5.42,
Feb-23    5.73,
Mar-23    6.09,
Apr-23    6.11,
May-23    6.02,
Jun-23    5.73,
Jul-23    5.45,
Aug-23    5.22,
Sep-23    5.04,
Oct-23    4.94,
Nov-23    5.03,
Dec-23    5.18,
Jan-24    5.43,
Feb-24    5.74,
Mar-24    6.10,
Apr-24    6.12,
May-24    6.03,
Jun-24    5.74,
Jul-24    5.46,
Aug-24    5.23,
Sep-24    5.05,
Oct-24    4.95,
Nov-24    5.04,
Dec-24    5.19,
